,pwm,xtorq_xmag_3.6,xtorq_xoffset_3.6,xtorq_ymag_3.6,xtorq_yoffset_3.6,xtorq_zmag_3.6,xtorq_zoffset_3.6,xtorq_volt_3.6,xtorq_xmag_3.7,xtorq_xoffset_3.7,xtorq_ymag_3.7,xtorq_yoffset_3.7,xtorq_zmag_3.7,xtorq_zoffset_3.7,xtorq_volt_3.7,xtorq_xmag_3.8,xtorq_xoffset_3.8,xtorq_ymag_3.8,xtorq_yoffset_3.8,xtorq_zmag_3.8,xtorq_zoffset_3.8,xtorq_volt_3.8,xtorq_xmag_3.9,xtorq_xoffset_3.9,xtorq_ymag_3.9,xtorq_yoffset_3.9,xtorq_zmag_3.9,xtorq_zoffset_3.9,xtorq_volt_3.9,xtorq_xmag_4.0,xtorq_xoffset_4.0,xtorq_ymag_4.0,xtorq_yoffset_4.0,xtorq_zmag_4.0,xtorq_zoffset_4.0,xtorq_volt_4.0,xtorq_xmag_4.1,xtorq_xoffset_4.1,xtorq_ymag_4.1,xtorq_yoffset_4.1,xtorq_zmag_4.1,xtorq_zoffset_4.1,xtorq_volt_4.1,xtorq_xmag_4.2,xtorq_xoffset_4.2,xtorq_ymag_4.2,xtorq_yoffset_4.2,xtorq_zmag_4.2,xtorq_zoffset_4.2,xtorq_volt_4.2,ytorq_xmag_3.6,ytorq_xoffset_3.6,ytorq_ymag_3.6,ytorq_yoffset_3.6,ytorq_zmag_3.6,ytorq_zoffset_3.6,ytorq_volt_3.6,ytorq_xmag_3.7,ytorq_xoffset_3.7,ytorq_ymag_3.7,ytorq_yoffset_3.7,ytorq_zmag_3.7,ytorq_zoffset_3.7,ytorq_volt_3.7,ytorq_xmag_3.8,ytorq_xoffset_3.8,ytorq_ymag_3.8,ytorq_yoffset_3.8,ytorq_zmag_3.8,ytorq_zoffset_3.8,ytorq_volt_3.8,ytorq_xmag_3.9,ytorq_xoffset_3.9,ytorq_ymag_3.9,ytorq_yoffset_3.9,ytorq_zmag_3.9,ytorq_zoffset_3.9,ytorq_volt_3.9,ytorq_xmag_4.0,ytorq_xoffset_4.0,ytorq_ymag_4.0,ytorq_yoffset_4.0,ytorq_zmag_4.0,ytorq_zoffset_4.0,ytorq_volt_4.0,ytorq_xmag_4.1,ytorq_xoffset_4.1,ytorq_ymag_4.1,ytorq_yoffset_4.1,ytorq_zmag_4.1,ytorq_zoffset_4.1,ytorq_volt_4.1,ytorq_xmag_4.2,ytorq_xoffset_4.2,ytorq_ymag_4.2,ytorq_yoffset_4.2,ytorq_zmag_4.2,ytorq_zoffset_4.2,ytorq_volt_4.2,ztorq_xmag_3.6,ztorq_xoffset_3.6,ztorq_ymag_3.6,ztorq_yoffset_3.6,ztorq_zmag_3.6,ztorq_zoffset_3.6,ztorq_volt_3.6,ztorq_xmag_3.7,ztorq_xoffset_3.7,ztorq_ymag_3.7,ztorq_yoffset_3.7,ztorq_zmag_3.7,ztorq_zoffset_3.7,ztorq_volt_3.7,ztorq_xmag_3.8,ztorq_xoffset_3.8,ztorq_ymag_3.8,ztorq_yoffset_3.8,ztorq_zmag_3.8,ztorq_zoffset_3.8,ztorq_volt_3.8,ztorq_xmag_3.9,ztorq_xoffset_3.9,ztorq_ymag_3.9,ztorq_yoffset_3.9,ztorq_zmag_3.9,ztorq_zoffset_3.9,ztorq_volt_3.9,ztorq_xmag_4.0,ztorq_xoffset_4.0,ztorq_ymag_4.0,ztorq_yoffset_4.0,ztorq_zmag_4.0,ztorq_zoffset_4.0,ztorq_volt_4.0,ztorq_xmag_4.1,ztorq_xoffset_4.1,ztorq_ymag_4.1,ztorq_yoffset_4.1,ztorq_zmag_4.1,ztorq_zoffset_4.1,ztorq_volt_4.1,ztorq_xmag_4.2,ztorq_xoffset_4.2,ztorq_ymag_4.2,ztorq_yoffset_4.2,ztorq_zmag_4.2,ztorq_zoffset_4.2,ztorq_volt_4.2
0,-255.0,-52.36,-12.47446081277211,82.01,1.667118523771821,-32.8,-0.5211488139743085,3.57,-52.7,-12.47446081277211,82.26,1.667118523771821,-33.05,-0.5211488139743085,3.66,-52.52,-12.47446081277211,82.51,1.667118523771821,-32.74,-0.5211488139743085,3.75,-53.22,-12.47446081277211,82.53,1.667118523771821,-32.43,-0.5211488139743085,3.85,-53.27,-12.47446081277211,82.35,1.667118523771821,-32.16,-0.5211488139743085,3.95,-54.17,-12.47446081277211,82.82,1.667118523771821,-31.91,-0.5211488139743085,4.05,-65.88,-12.47446081277211,71.19,1.667118523771821,-31.9,-0.5211488139743085,4.19,-61.89,4.150330655979234,59.65,-8.068288391901575,-52.78,-15.22244554947148,3.58,-62.03,4.150330655979234,59.88,-8.068288391901575,-52.95,-15.22244554947148,3.62,-61.89,4.150330655979234,59.7,-8.068288391901575,-53.34,-15.22244554947148,3.78,-61.89,4.150330655979234,59.53,-8.068288391901575,-53.72,-15.22244554947148,3.88,-61.38,4.150330655979234,59.04,-8.068288391901575,-54.23,-15.22244554947148,3.99,-55.18,4.150330655979234,57.47,-8.068288391901575,-53.95,-15.22244554947148,4.1,-54.44,4.150330655979234,57.28,-8.068288391901575,-54.46,-15.22244554947148,4.18,-72.19,-7.872981461934281,70.43,-1.8135241933119137,-50.94,-5.994823587837728,3.59,-73.66,-7.872981461934281,69.78,-1.8135241933119137,-51.44,-5.994823587837728,3.68,-73.31,-7.872981461934281,69.39,-1.8135241933119137,-51.18,-5.994823587837728,3.79,-75.02,-7.872981461934281,65.52,-1.8135241933119137,-52.06,-5.994823587837728,3.88,-75.5,-7.872981461934281,65.8,-1.8135241933119137,-52.48,-5.994823587837728,3.99,-74.31,-7.872981461934281,68.16,-1.8135241933119137,-51.6,-5.994823587837728,4.04,-76.85,-7.872981461934281,66.53,-1.8135241933119137,-52.92,-5.994823587837728,4.2
1,-245.0,-53.23,-11.971286656801064,82.27,1.6130677884669242,-32.92,-0.3448736573883851,3.57,-53.24,-11.971286656801064,82.39,1.6130677884669242,-32.51,-0.3448736573883851,3.67,-53.53,-11.971286656801064,82.64,1.6130677884669242,-32.51,-0.3448736573883851,3.76,-54.32,-11.971286656801064,82.65,1.6130677884669242,-31.84,-0.3448736573883851,3.86,-54.17,-11.971286656801064,82.2,1.6130677884669242,-32.24,-0.3448736573883851,3.96,-55.36,-11.971286656801064,82.84,1.6130677884669242,-32.39,-0.3448736573883851,4.06,-66.92,-11.971286656801064,71.18,1.6130677884669242,-31.63,-0.3448736573883851,4.19,-61.35,4.066053176152366,59.24,-7.757059299129753,-53.9,-14.672782393537512,3.58,-62.03,4.066053176152366,59.27,-7.757059299129753,-53.94,-14.672782393537512,3.63,-61.52,4.066053176152366,58.99,-7.757059299129753,-54.03,-14.672782393537512,3.79,-61.79,4.066053176152366,59.02,-7.757059299129753,-55.15,-14.672782393537512,3.89,-61.29,4.066053176152366,58.49,-7.757059299129753,-55.12,-14.672782393537512,3.99,-54.72,4.066053176152366,56.75,-7.757059299129753,-54.92,-14.672782393537512,4.11,-54.22,4.066053176152366,56.68,-7.757059299129753,-55.4,-14.672782393537512,4.19,-73.1,-7.660459779645675,70.43,-1.80147889615008,-51.35,-5.644249323034829,3.59,-73.93,-7.660459779645675,69.91,-1.80147889615008,-51.82,-5.644249323034829,3.68,-73.86,-7.660459779645675,69.15,-1.80147889615008,-52.23,-5.644249323034829,3.79,-75.64,-7.660459779645675,65.25,-1.80147889615008,-52.08,-5.644249323034829,3.89,-76.25,-7.660459779645675,65.5,-1.80147889615008,-52.68,-5.644249323034829,4.0,-75.1,-7.660459779645675,67.79,-1.80147889615008,-52.16,-5.644249323034829,4.04,-77.81,-7.660459779645675,66.24,-1.80147889615008,-53.27,-5.644249323034829,4.2
2,-235.0,-52.7,-11.46983533490801,82.39,1.5563608557400137,-32.93,-0.1833942341109588,3.58,-52.81,-11.46983533490801,82.2,1.5563608557400137,-32.72,-0.1833942341109588,3.67,-53.31,-11.46983533490801,82.12,1.5563608557400137,-32.51,-0.1833942341109588,3.77,-53.75,-11.46983533490801,82.27,1.5563608557400137,-31.72,-0.1833942341109588,3.86,-54.13,-11.46983533490801,82.07,1.5563608557400137,-32.24,-0.1833942341109588,3.96,-54.89,-11.46983533490801,82.58,1.5563608557400137,-32.22,-0.1833942341109588,4.07,-66.83,-11.46983533490801,71.06,1.5563608557400137,-31.41,-0.1833942341109588,4.2,-61.94,3.972971223698603,59.49,-7.446364510381692,-52.85,-14.113142014678486,3.58,-61.71,3.972971223698603,59.37,-7.446364510381692,-53.22,-14.113142014678486,3.64,-61.54,3.972971223698603,59.21,-7.446364510381692,-53.57,-14.113142014678486,3.79,-61.97,3.972971223698603,59.49,-7.446364510381692,-54.43,-14.113142014678486,3.89,-61.25,3.972971223698603,58.48,-7.446364510381692,-53.79,-14.113142014678486,4.0,-55.15,3.972971223698603,57.0,-7.446364510381692,-53.98,-14.113142014678486,4.11,-54.75,3.972971223698603,57.22,-7.446364510381692,-54.5,-14.113142014678486,4.2,-72.62,-7.436876653929363,70.36,-1.7837409773910744,-50.76,-5.30399933920438,3.6,-73.41,-7.436876653929363,69.98,-1.7837409773910744,-50.88,-5.30399933920438,3.69,-73.64,-7.436876653929363,69.58,-1.7837409773910744,-51.77,-5.30399933920438,3.8,-75.49,-7.436876653929363,65.64,-1.7837409773910744,-51.8,-5.30399933920438,3.89,-76.12,-7.436876653929363,65.62,-1.7837409773910744,-52.39,-5.30399933920438,4.01,-74.76,-7.436876653929363,67.83,-1.7837409773910744,-51.48,-5.30399933920438,4.05,-77.53,-7.436876653929363,66.34,-1.7837409773910744,-53.02,-5.30399933920438,4.21
3,-225.0,-51.84,-10.970032595040898,82.09,1.497218779417028,-32.83,-0.0364457439527003,3.58,-52.32,-10.970032595040898,82.53,1.497218779417028,-32.45,-0.0364457439527003,3.68,-53.17,-10.970032595040898,82.17,1.497218779417028,-32.7,-0.0364457439527003,3.77,-52.83,-10.970032595040898,82.1,1.497218779417028,-32.06,-0.0364457439527003,3.87,-53.6,-10.970032595040898,82.23,1.497218779417028,-32.27,-0.0364457439527003,3.97,-53.95,-10.970032595040898,82.45,1.497218779417028,-31.83,-0.0364457439527003,4.08,-65.59,-10.970032595040898,71.23,1.497218779417028,-31.05,-0.0364457439527003,4.2,-62.44,3.87139091277756,59.35,-7.136081893504182,-52.01,-13.54430522561972,3.59,-62.06,3.87139091277756,59.57,-7.136081893504182,-52.17,-13.54430522561972,3.64,-61.87,3.87139091277756,59.34,-7.136081893504182,-52.78,-13.54430522561972,3.8,-62.27,3.87139091277756,59.13,-7.136081893504182,-53.05,-13.54430522561972,3.9,-61.49,3.87139091277756,59.06,-7.136081893504182,-52.74,-13.54430522561972,4.0,-55.58,3.87139091277756,57.33,-7.136081893504182,-53.42,-13.54430522561972,4.11,-54.93,3.87139091277756,57.87,-7.136081893504182,-54.54,-13.54430522561972,4.2,-72.28,-7.20264142904819,70.77,-1.7604215406310166,-50.8,-4.973959114784578,3.6,-73.44,-7.20264142904819,69.8,-1.7604215406310166,-51.2,-4.973959114784578,3.69,-73.24,-7.20264142904819,69.36,-1.7604215406310166,-51.54,-4.973959114784578,3.8,-74.91,-7.20264142904819,65.81,-1.7604215406310166,-51.77,-4.973959114784578,3.9,-75.12,-7.20264142904819,65.56,-1.7604215406310166,-51.82,-4.973959114784578,4.01,-74.36,-7.20264142904819,68.05,-1.7604215406310166,-50.89,-4.973959114784578,4.06,-77.03,-7.20264142904819,66.35,-1.7604215406310166,-52.23,-4.973959114784578,4.21
4,-215.0,-51.1,-10.471804185147674,81.82,1.435862613323903,-32.93,0.0962366132757171,3.58,-52.51,-10.471804185147674,82.45,1.435862613323903,-32.61,0.0962366132757171,3.68,-52.76,-10.471804185147674,82.4,1.435862613323903,-32.36,0.0962366132757171,3.77,-52.43,-10.471804185147674,82.07,1.435862613323903,-31.73,0.0962366132757171,3.88,-52.28,-10.471804185147674,82.11,1.435862613323903,-32.79,0.0962366132757171,3.98,-52.61,-10.471804185147674,82.5,1.435862613323903,-31.97,0.0962366132757171,4.08,-65.65,-10.471804185147674,71.06,1.435862613323903,-30.86,0.0962366132757171,4.2,-62.64,3.7616183575488447,59.64,-6.826089316344014,-51.43,-12.967052839086536,3.59,-62.52,3.7616183575488447,59.44,-6.826089316344014,-51.44,-12.967052839086536,3.65,-62.27,3.7616183575488447,59.74,-6.826089316344014,-51.99,-12.967052839086536,3.8,-62.34,3.7616183575488447,59.96,-6.826089316344014,-53.03,-12.967052839086536,3.9,-62.45,3.7616183575488447,59.65,-6.826089316344014,-52.97,-12.967052839086536,4.0,-55.9,3.7616183575488447,57.69,-6.826089316344014,-52.96,-12.967052839086536,4.12,-55.05,3.7616183575488447,58.26,-6.826089316344014,-53.72,-12.967052839086536,4.21,-71.65,-6.958163449264993,70.83,-1.7316316894660277,-50.08,-4.654014128213621,3.6,-73.45,-6.958163449264993,69.86,-1.7316316894660277,-50.84,-4.654014128213621,3.7,-73.44,-6.958163449264993,69.52,-1.7316316894660277,-50.86,-4.654014128213621,3.8,-75.09,-6.958163449264993,65.69,-1.7316316894660277,-51.65,-4.654014128213621,3.9,-74.83,-6.958163449264993,65.69,-1.7316316894660277,-51.44,-4.654014128213621,4.01,-73.98,-6.958163449264993,67.86,-1.7316316894660277,-50.89,-4.654014128213621,4.06,-76.28,-6.958163449264993,66.11,-1.7316316894660277,-51.94,-4.654014128213621,4.22
5,-205.0,-50.49,-9.975075853176278,82.04,1.3725134112865771,-32.96,0.2149176377636241,3.59,-51.39,-9.975075853176278,82.06,1.3725134112865771,-32.84,0.2149176377636241,3.69,-51.66,-9.975075853176278,82.21,1.3725134112865771,-32.31,0.2149176377636241,3.78,-53.0,-9.975075853176278,82.04,1.3725134112865771,-31.32,0.2149176377636241,3.88,-51.55,-9.975075853176278,81.64,1.3725134112865771,-32.04,0.2149176377636241,3.98,-52.66,-9.975075853176278,82.28,1.3725134112865771,-31.57,0.2149176377636241,4.08,-64.87,-9.975075853176278,70.96,1.3725134112865771,-31.09,0.2149176377636241,4.21,-62.76,3.643959672172069,60.33,-6.51626464674798,-51.25,-12.38216566780425,3.6,-62.67,3.643959672172069,59.82,-6.51626464674798,-50.94,-12.38216566780425,3.66,-62.56,3.643959672172069,60.29,-6.51626464674798,-52.14,-12.38216566780425,3.81,-62.12,3.643959672172069,60.6,-6.51626464674798,-51.78,-12.38216566780425,3.91,-62.57,3.643959672172069,59.82,-6.51626464674798,-52.89,-12.38216566780425,4.01,-55.88,3.643959672172069,57.87,-6.51626464674798,-51.76,-12.38216566780425,4.12,-55.39,3.643959672172069,58.5,-6.51626464674798,-53.08,-12.38216566780425,4.21,-71.31,-6.703852058842616,70.51,-1.697482527492227,-49.57,-4.344049857929706,3.61,-72.68,-6.703852058842616,69.89,-1.697482527492227,-50.2,-4.344049857929706,3.7,-72.41,-6.703852058842616,69.47,-1.697482527492227,-51.2,-4.344049857929706,3.81,-74.77,-6.703852058842616,65.53,-1.697482527492227,-50.84,-4.344049857929706,3.9,-74.3,-6.703852058842616,65.84,-1.697482527492227,-51.56,-4.344049857929706,4.02,-73.45,-6.703852058842616,67.63,-1.697482527492227,-50.84,-4.344049857929706,4.07,-76.51,-6.703852058842616,66.21,-1.697482527492227,-51.58,-4.344049857929706,4.22
6,-195.0,-49.74,-9.47977334707466,81.88,1.307392227130987,-33.11,0.3198621297003479,3.59,-50.51,-9.47977334707466,82.1,1.307392227130987,-32.78,0.3198621297003479,3.69,-50.72,-9.47977334707466,82.01,1.307392227130987,-32.16,0.3198621297003479,3.78,-52.78,-9.47977334707466,81.98,1.307392227130987,-31.42,0.3198621297003479,3.89,-51.84,-9.47977334707466,81.65,1.307392227130987,-32.3,0.3198621297003479,3.99,-53.2,-9.47977334707466,82.13,1.307392227130987,-31.74,0.3198621297003479,4.09,-64.88,-9.47977334707466,70.5,1.307392227130987,-31.54,0.3198621297003479,4.21,-62.92,3.518720970806842,60.63,-6.206485752562871,-50.67,-11.790424524498178,3.6,-63.01,3.518720970806842,60.55,-6.206485752562871,-50.87,-11.790424524498178,3.66,-62.78,3.518720970806842,60.65,-6.206485752562871,-51.73,-11.790424524498178,3.81,-62.63,3.518720970806842,60.48,-6.206485752562871,-50.6,-11.790424524498178,3.91,-62.49,3.518720970806842,60.8,-6.206485752562871,-50.99,-11.790424524498178,4.01,-56.38,3.518720970806842,58.39,-6.206485752562871,-51.67,-11.790424524498178,4.13,-55.84,3.518720970806842,58.81,-6.206485752562871,-52.65,-11.790424524498178,4.22,-70.72,-6.440116602043895,70.53,-1.6580851583057354,-49.76,-4.043951782371032,3.61,-71.89,-6.440116602043895,69.78,-1.6580851583057354,-49.81,-4.043951782371032,3.71,-72.91,-6.440116602043895,69.71,-1.6580851583057354,-50.89,-4.043951782371032,3.81,-73.81,-6.440116602043895,65.74,-1.6580851583057354,-50.58,-4.043951782371032,3.91,-74.91,-6.440116602043895,65.93,-1.6580851583057354,-50.97,-4.043951782371032,4.02,-73.31,-6.440116602043895,67.9,-1.6580851583057354,-50.43,-4.043951782371032,4.07,-76.37,-6.440116602043895,66.6,-1.6580851583057354,-51.4,-4.043951782371032,4.22
7,-185.0,-50.12,-8.985822414790766,81.88,1.2407201146830702,-32.81,0.4113348892752167,3.6,-49.68,-8.985822414790766,81.55,1.2407201146830702,-32.56,0.4113348892752167,3.7,-50.01,-8.985822414790766,81.67,1.2407201146830702,-32.65,0.4113348892752167,3.79,-51.45,-8.985822414790766,82.06,1.2407201146830702,-31.56,0.4113348892752167,3.89,-52.58,-8.985822414790766,82.08,1.2407201146830702,-32.23,0.4113348892752167,3.99,-52.32,-8.985822414790766,82.2,1.2407201146830702,-31.76,0.4113348892752167,4.09,-64.77,-8.985822414790766,70.86,1.2407201146830702,-31.03,0.4113348892752167,4.22,-63.17,3.386208367612773,61.13,-5.896630501635479,-50.47,-11.192610221893643,3.6,-63.2,3.386208367612773,60.74,-5.896630501635479,-50.89,-11.192610221893643,3.67,-63.18,3.386208367612773,61.47,-5.896630501635479,-51.19,-11.192610221893643,3.81,-63.54,3.386208367612773,60.54,-5.896630501635479,-50.65,-11.192610221893643,3.92,-62.1,3.386208367612773,60.39,-5.896630501635479,-49.66,-11.192610221893643,4.01,-56.77,3.386208367612773,58.98,-5.896630501635479,-51.27,-11.192610221893643,4.13,-56.13,3.386208367612773,59.46,-5.896630501635479,-51.91,-11.192610221893643,4.22,-70.97,-6.167366423131675,70.56,-1.6135506855026727,-48.92,-3.753605379975795,3.61,-71.27,-6.167366423131675,69.99,-1.6135506855026727,-49.81,-3.753605379975795,3.71,-71.58,-6.167366423131675,69.63,-1.6135506855026727,-50.77,-3.753605379975795,3.81,-72.94,-6.167366423131675,65.82,-1.6135506855026727,-50.72,-3.753605379975795,3.91,-73.95,-6.167366423131675,65.94,-1.6135506855026727,-50.39,-3.753605379975795,4.02,-73.35,-6.167366423131675,68.12,-1.6135506855026727,-50.51,-3.753605379975795,4.08,-75.76,-6.167366423131675,66.35,-1.6135506855026727,-51.49,-3.753605379975795,4.22
8,-175.0,-50.63,-8.493148804272538,81.73,1.172718127768764,-31.99,0.4896007166775602,3.6,-51.18,-8.493148804272538,81.65,1.172718127768764,-32.51,0.4896007166775602,3.7,-48.89,-8.493148804272538,81.76,1.172718127768764,-32.14,0.4896007166775602,3.79,-49.85,-8.493148804272538,82.08,1.172718127768764,-31.43,0.4896007166775602,3.9,-52.3,-8.493148804272538,81.93,1.172718127768764,-32.64,0.4896007166775602,4.0,-50.64,-8.493148804272538,82.43,1.172718127768764,-31.72,0.4896007166775602,4.1,-62.79,-8.493148804272538,71.15,1.172718127768764,-31.12,0.4896007166775602,4.22,-63.62,3.246727976749475,61.72,-5.586576761812594,-49.64,-10.589503572715962,3.61,-63.56,3.246727976749475,61.46,-5.586576761812594,-49.99,-10.589503572715962,3.67,-63.31,3.246727976749475,61.87,-5.586576761812594,-50.3,-10.589503572715962,3.82,-63.45,3.246727976749475,61.31,-5.586576761812594,-50.98,-10.589503572715962,3.92,-62.72,3.246727976749475,59.71,-5.586576761812594,-48.98,-10.589503572715962,4.02,-56.98,3.246727976749475,59.47,-5.586576761812594,-50.94,-10.589503572715962,4.13,-56.4,3.246727976749475,59.66,-5.586576761812594,-51.07,-10.589503572715962,4.22,-71.59,-5.8860108663687924,70.73,-1.5639902126791594,-48.9,-3.4728961291821943,3.62,-70.97,-5.8860108663687924,70.11,-1.5639902126791594,-49.68,-3.4728961291821943,3.71,-72.23,-5.8860108663687924,69.75,-1.5639902126791594,-50.06,-3.4728961291821943,3.82,-72.84,-5.8860108663687924,65.88,-1.5639902126791594,-50.37,-3.4728961291821943,3.91,-73.19,-5.8860108663687924,66.15,-1.5639902126791594,-50.86,-3.4728961291821943,4.02,-71.87,-5.8860108663687924,67.71,-1.5639902126791594,-49.8,-3.4728961291821943,4.08,-75.11,-5.8860108663687924,66.59,-1.5639902126791594,-50.78,-3.4728961291821943,4.22
9,-165.0,-50.12,-8.001678263467927,81.75,1.103607320214005,-32.03,0.5549244120967061,3.61,-50.87,-8.001678263467927,81.9,1.103607320214005,-32.46,0.5549244120967061,3.7,-49.61,-8.001678263467927,81.48,1.103607320214005,-32.08,0.5549244120967061,3.8,-48.7,-8.001678263467927,81.77,1.103607320214005,-31.7,0.5549244120967061,3.9,-50.8,-8.001678263467927,82.15,1.103607320214005,-32.69,0.5549244120967061,4.0,-49.73,-8.001678263467927,81.96,1.103607320214005,-31.87,0.5549244120967061,4.1,-62.11,-8.001678263467927,70.91,1.103607320214005,-31.25,0.5549244120967061,4.22,-63.59,3.100585912376556,62.18,-5.27620240094101,-49.39,-9.981885389690454,3.61,-63.69,3.100585912376556,61.79,-5.27620240094101,-49.34,-9.981885389690454,3.67,-63.6,3.100585912376556,62.07,-5.27620240094101,-49.92,-9.981885389690454,3.82,-63.05,3.100585912376556,62.4,-5.27620240094101,-49.57,-9.981885389690454,3.92,-63.36,3.100585912376556,60.9,-5.27620240094101,-48.94,-9.981885389690454,4.02,-56.85,3.100585912376556,60.04,-5.27620240094101,-49.96,-9.981885389690454,4.13,-56.52,3.100585912376556,60.1,-5.27620240094101,-50.44,-9.981885389690454,4.23,-71.49,-5.596459276018091,70.94,-1.5095148434313157,-48.16,-3.201709508428426,3.62,-70.4,-5.596459276018091,70.16,-1.5095148434313157,-49.72,-3.201709508428426,3.71,-70.9,-5.596459276018091,69.89,-1.5095148434313157,-50.12,-3.201709508428426,3.82,-72.78,-5.596459276018091,66.03,-1.5095148434313157,-49.94,-3.201709508428426,3.92,-73.06,-5.596459276018091,66.25,-1.5095148434313157,-50.37,-3.201709508428426,4.03,-72.07,-5.596459276018091,68.2,-1.5095148434313157,-49.42,-3.201709508428426,4.09,-74.97,-5.596459276018091,66.81,-1.5095148434313157,-50.68,-3.201709508428426,4.23
10,-155.0,-49.56,-7.511336540324872,81.67,1.033608745844732,-32.31,0.607570775721983,3.61,-48.44,-7.511336540324872,81.83,1.033608745844732,-32.51,0.607570775721983,3.71,-50.38,-7.511336540324872,81.53,1.033608745844732,-32.16,0.607570775721983,3.8,-49.58,-7.511336540324872,81.32,1.033608745844732,-31.65,0.607570775721983,3.9,-48.55,-7.511336540324872,81.79,1.033608745844732,-32.16,0.607570775721983,4.0,-49.1,-7.511336540324872,81.96,1.033608745844732,-31.64,0.607570775721983,4.11,-62.22,-7.511336540324872,70.8,1.033608745844732,-31.31,0.607570775721983,4.22,-63.88,2.9480882886536275,62.19,-4.965385286867514,-48.58,-9.37053648554244,3.62,-63.81,2.9480882886536275,62.39,-4.965385286867514,-48.52,-9.37053648554244,3.68,-63.22,2.9480882886536275,62.51,-4.965385286867514,-48.38,-9.37053648554244,3.82,-62.76,2.9480882886536275,62.16,-4.965385286867514,-47.42,-9.37053648554244,3.93,-63.15,2.9480882886536275,62.2,-4.965385286867514,-48.76,-9.37053648554244,4.03,-56.38,2.9480882886536275,60.56,-4.965385286867514,-48.28,-9.37053648554244,4.13,-56.79,2.9480882886536275,60.69,-4.965385286867514,-49.56,-9.37053648554244,4.23,-70.66,-5.299120996342409,70.65,-1.4502356813552622,-47.84,-2.939930996152689,3.62,-70.86,-5.299120996342409,70.04,-1.4502356813552622,-49.14,-2.939930996152689,3.72,-71.53,-5.299120996342409,69.99,-1.4502356813552622,-49.71,-2.939930996152689,3.82,-72.6,-5.299120996342409,65.86,-1.4502356813552622,-49.36,-2.939930996152689,3.92,-74.32,-5.299120996342409,66.31,-1.4502356813552622,-49.51,-2.939930996152689,4.03,-71.96,-5.299120996342409,68.04,-1.4502356813552622,-49.34,-2.939930996152689,4.09,-74.5,-5.299120996342409,66.67,-1.4502356813552622,-50.5,-2.939930996152689,4.23
11,-145.0,-48.39,-7.022049382791323,81.79,0.9629434584868812,-32.42,0.6478046077427193,3.61,-46.81,-7.022049382791323,81.39,0.9629434584868812,-32.64,0.6478046077427193,3.71,-49.9,-7.022049382791323,81.53,0.9629434584868812,-32.34,0.6478046077427193,3.81,-50.19,-7.022049382791323,81.47,0.9629434584868812,-31.6,0.6478046077427193,3.91,-47.76,-7.022049382791323,81.59,0.9629434584868812,-31.77,0.6478046077427193,4.01,-47.93,-7.022049382791323,81.91,0.9629434584868812,-32.1,0.6478046077427193,4.11,-60.68,-7.022049382791323,70.55,0.9629434584868812,-31.15,0.6478046077427193,4.23,-63.88,2.7895412197402987,62.52,-4.6540032874389015,-48.23,-8.756237672997234,3.62,-63.78,2.7895412197402987,62.67,-4.6540032874389015,-48.25,-8.756237672997234,3.68,-63.08,2.7895412197402987,62.3,-4.6540032874389015,-46.43,-8.756237672997234,3.83,-63.59,2.7895412197402987,61.74,-4.6540032874389015,-46.52,-8.756237672997234,3.93,-62.47,2.7895412197402987,62.19,-4.6540032874389015,-46.73,-8.756237672997234,4.03,-56.06,2.7895412197402987,60.23,-4.6540032874389015,-46.46,-8.756237672997234,4.14,-56.79,2.7895412197402987,61.22,-4.6540032874389015,-48.42,-8.756237672997234,4.23,-69.57,-4.994405371604587,70.82,-1.3862638300471184,-47.97,-2.68744607079318,3.62,-70.68,-4.994405371604587,70.0,-1.3862638300471184,-48.77,-2.68744607079318,3.72,-70.34,-4.994405371604587,70.09,-1.3862638300471184,-49.53,-2.68744607079318,3.83,-72.42,-4.994405371604587,66.17,-1.3862638300471184,-49.11,-2.68744607079318,3.92,-72.23,-4.994405371604587,65.78,-1.3862638300471184,-49.35,-2.68744607079318,4.04,-70.41,-4.994405371604587,68.02,-1.3862638300471184,-49.37,-2.68744607079318,4.1,-74.71,-4.994405371604587,66.63,-1.3862638300471184,-50.19,-2.68744607079318,4.23
